Product_link,Product_id,Product_Name,Product_Description,Discounted_Price,Original_Price,Discount_Percentage,Fabric_Material,Neck_Type,overall_rating,votes,Customer_Rated_Rating,Customer_Review_Text,Reviewers_Username,Date_of_Review,Reviewers_Product_Images
https://www.myntra.com/tshirts/ecott/ecott-graphic-printed-pure-cotton-bio-finish-pure-cotton-t-shirt/26354346/buy,26354346,ecott,Graphic Printed Pure Cotton Bio Finish Pure Cotton T-shirt,₹401,MRP ₹599,(33% OFF),Pure Cotton,Round Neck,,,,,,,
https://www.myntra.com/tshirts/chkokko/chkokko-men-violet-turtle-neck-t-shirt/20388704/buy,20388704,CHKOKKO,Men Violet Turtle Neck T-shirt,₹774,MRP ₹2765,(72% OFF),Cotton,Turtle Neck,4.2,81.0,"['5', '4', '4', '1']","['It looks great with a coat', 'Gud', 'ok', 'Poor quality and looks old']","['Anmol', 'Pallapu Rahul', 'Chandan Chawda', 'Shamim']","['26 Jan 2023', '8 Feb 2023', '20 Nov 2023', '18 Oct 2023']",[]
https://www.myntra.com/tshirts/sztori/sztori-plus-size-flap-pocket-detailed-pure-cotton-t-shirt/21772112/buy,21772112,Sztori,Plus Size Flap Pocket Detailed Pure Cotton T-shirt,₹499,MRP ₹1499,(Rs. 1000 OFF),Pure Cotton,Round Neck,4.6,8.0,['2'],['Damaged'],['Yellanki Tarun Sai'],['12 Jan 2024'],[]
https://www.myntra.com/tshirts/maniac/maniac-sleeveless-hooded-pure-cotton-slim-fit-t-shirt/22426398/buy,22426398,Maniac,Sleeveless Hooded Pure Cotton Slim Fit T-shirt,₹703,MRP ₹2199,(68% OFF),Pure Cotton,Hood,4.5,10.0,,,,,
https://www.myntra.com/tshirts/maniac/maniac-men-polo-neck-full-sleeve-half-zip-cotton-oversized-tshirt/22042152/buy,22042152,Maniac,Men Polo Neck Full Sleeve Half Zip Cotton Oversized Tshirt,₹701,MRP ₹1799,(61% OFF),Cotton,Polo Collar,4.2,66.0,"['4', '5', '5', '1']","['Good', 'Loved it', 'Amazing', 'Size ishu']","['Sanimon', 'Renzil', 'Mohammed Muhsin', 'Devendra Solanki']","['30 Dec 2023', '11 Jan 2024', '7 Apr 2023', '13 Sept 2023']",[]
https://www.myntra.com/tshirts/bonkers+corner/bonkers-corner-graphic-printed-loose-cotton-t-shirt/22517426/buy,22517426,Bonkers Corner,Graphic Printed Loose Cotton T-shirt,₹799,MRP ₹999,(20% OFF),Cotton,Round Neck,4.5,151.0,"['5', '4', '5', '5', '5', '5', '5', '5', '1']","['Quality is super and printing 😍', 'Perfect colour matching t', 'Good.', 'Love it', 'I loved this shirt, it matches on every Shorts, Jeans & Trouser. It is little expensive or maybe that is its brand value or something, but overall I loved it ❤', 'Outstanding product', 'Excellent', 'Nic t', 'How can you sell something for such high price and such low quality, didn`t expect this']","['Reddy Srikanth', 'Vamshi Addiwar', 'Myntra Customer', 'Ome Taruk', 'Samael Morningstar', 'Abhisek Nayak', 'John Suante', 'Kavya Sharma', 'Neeta Ghanani']","['13 Oct 2023', '2 Oct 2023', '29 Sept 2023', '14 July 2023', '17 Oct 2023', '11 Sept 2023', '26 May 2023', '2 Sept 2023', '8 Oct 2023']",[]
https://www.myntra.com/tshirts/campus+sutra/campus-sutra-polo-collar-short-sleeves-sports-t-shirt/22735588/buy,22735588,Campus Sutra,Polo Collar Short Sleeves Sports T-shirt,₹674,MRP ₹1499,(55% OFF),Polyester,Polo Collar,4.9,9.0,"['5', '5', '5']","['Good quality same as a premium brand good for gymming and sports', 'Amazing tshirts', 'Mind blowing']","['Manan Bansal', 'Mohd Waseem', 'Ramesh']","['22 Nov 2023', '17 Aug 2023', '17 Dec 2023']",[]
https://www.myntra.com/tshirts/levis/levis-men-brand-logo-printed-pure-cotton-t-shirt/20516566/buy,20516566,Levis,Men Brand Logo Printed Pure Cotton T-shirt,₹719,MRP ₹1599,(55% OFF),Pure Cotton,Round Neck,4.4,67.0,"['2', '1', '1']","['Sizes are not perfect', 'Useless product', 'Very poor quality']","['Harikrishna', 'Sanjay Chauhan', 'Tina']","['5 Sept 2023', '30 Aug 2023', '25 Feb 2023']",[]
https://www.myntra.com/tshirts/sztori/sztori-plus-size-polo-collar-pure-cotton-t-shirt/20569960/buy,20569960,Sztori,Plus Size Polo Collar Pure Cotton T-shirt,₹499,MRP ₹1799,(Rs. 1300 OFF),Pure Cotton,Polo Collar,4|3,,"['4', '5', '1']","['Nice product. .', 'Value for money', 'Aft 3 to 4 washes one hole on this shirt may be cloth quality plz check quality']","['Shristi Priya', 'Priyanka Gandhi Modi', 'Pranava Karthikeya']","['16 Apr 2023', '21 Nov 2023', '27 May 2023']","['https://assets.myntassets.com/h_150,q_75,w_150,c_thumb,fl_progressive/assets/images/2023/5/27/b80c6097-0464-49c4-84a2-fa2cfb43410e1685196952089-image797.jpg']"
https://www.myntra.com/tshirts/hypernation/hypernation-men-navy-blue-turtle-neck-slim-fit-cotton-t-shirt/19858484/buy,19858484,Hypernation,Men Navy Blue Turtle Neck Slim Fit Cotton T-shirt,₹695,MRP ₹1199,(42% OFF),Cotton,Turtle Neck,4.4,17.0,,,,,
